iso_code,country,total,nodes,ways,relations,status
ESP,Spain,571576.0,90008.0,478834.0,2734.0,ok
DEU,Germany,510745.0,83434.0,421504.0,5807.0,ok
ITA,Italy,265003.0,24276.0,237980.0,2747.0,ok
GBR,United Kingdom,234096.0,11926.0,220239.0,1931.0,ok
AUS,Australia,184781.0,12130.0,171133.0,1518.0,ok
CAN,Canada,147288.0,11776.0,133990.0,1522.0,ok
POL,Poland,134238.0,16927.0,115843.0,1468.0,ok
AUT,Austria,130681.0,11395.0,118030.0,1256.0,ok
CHE,Switzerland,104328.0,18784.0,84908.0,636.0,ok
NLD,Netherlands,100575.0,16459.0,83423.0,693.0,ok
CZE,Czechia,84517.0,23236.0,58923.0,2358.0,ok
BEL,Belgium,66214.0,4866.0,60957.0,391.0,ok
SWE,Sweden,60100.0,8734.0,50008.0,1358.0,ok
UKR,Ukraine,50790.0,8527.0,41422.0,841.0,ok
GRC,Greece,44308.0,2340.0,41659.0,309.0,ok
NOR,Norway,40232.0,8784.0,30019.0,1429.0,ok
FIN,Finland,36432.0,3941.0,31653.0,838.0,ok
DNK,Denmark,35840.0,4439.0,31026.0,375.0,ok
HUN,Hungary,33859.0,5638.0,27491.0,730.0,ok
IND,India,33609.0,4727.0,28576.0,306.0,ok
IRL,Ireland,27989.0,1548.0,25971.0,470.0,ok
SVK,Slovakia,25470.0,5308.0,19838.0,324.0,ok
HRV,Croatia,19790.0,2105.0,17600.0,85.0,ok
ROU,Romania,17131.0,1847.0,15191.0,93.0,ok
BLR,Belarus,16600.0,3966.0,12507.0,127.0,ok
BGR,Bulgaria,13143.0,2832.0,10179.0,132.0,ok
SRB,Serbia,10859.0,1033.0,9680.0,146.0,ok
LVA,Latvia,9512.0,1368.0,7975.0,169.0,ok
LTU,Lithuania,9436.0,1017.0,7963.0,456.0,ok
SVN,Slovenia,9312.0,1234.0,7704.0,374.0,ok
EST,Estonia,8729.0,1609.0,7063.0,57.0,ok
CYP,Cyprus,7803.0,1166.0,6552.0,85.0,ok
BIH,Bosnia and Herzegovina,5596.0,546.0,4989.0,61.0,ok
LUX,Luxembourg,5293.0,411.0,4856.0,26.0,ok
MLT,Malta,3902.0,202.0,3666.0,34.0,ok
ISL,Iceland,3129.0,207.0,2829.0,93.0,ok
ALB,Albania,2079.0,235.0,1838.0,6.0,ok
MNE,Montenegro,1747.0,277.0,1443.0,27.0,ok
MKD,North Macedonia,1705.0,153.0,1550.0,2.0,ok
XKX,Kosovo,1557.0,133.0,1423.0,1.0,ok
LIE,Liechtenstein,522.0,59.0,460.0,3.0,ok
AND,Andorra,382.0,65.0,309.0,8.0,ok
SMR,San Marino,180.0,8.0,171.0,1.0,ok
MCO,Monaco,134.0,22.0,110.0,2.0,ok
VAT,Vatican City,7.0,2.0,5.0,0.0,ok
USA,United States,1624849,0.0,0.0,0.0,ok
FRA,France,1121367,50942,1065504,4921,ok
RUS,Russia,214120,31972,174977,7171,ok
CHN,China,165748,11303,148581,5864,ok
PRT,Portugal,69673,3010,66181,482,ok
MDA,Moldova,5872,1212,4607,53,ok
ZAF,South Africa,71056.0,30549.0,40321.0,186.0,ok
DZA,Algeria,11675.0,884.0,10694.0,97.0,ok
MAR,Morocco,10606.0,509.0,10029.0,68.0,ok
EGY,Egypt,10085.0,751.0,9139.0,195.0,ok
TUN,Tunisia,5196.0,150.0,4983.0,63.0,ok
GHA,Ghana,5051.0,202.0,4794.0,55.0,ok
KEN,Kenya,4351.0,412.0,3913.0,26.0,ok
ZWE,Zimbabwe,4023.0,163.0,3752.0,108.0,ok
ZMB,Zambia,3872.0,20.0,3817.0,35.0,ok
NGA,Nigeria,3730.0,157.0,3497.0,76.0,ok
SEN,Senegal,3555.0,154.0,3385.0,16.0,ok
COD,DR Congo,2327.0,140.0,2165.0,22.0,ok
BWA,Botswana,2171.0,48.0,2104.0,19.0,ok
AGO,Angola,2046.0,48.0,1980.0,18.0,ok
BFA,Burkina Faso,1649.0,49.0,1597.0,3.0,ok
MLI,Mali,1630.0,106.0,1510.0,14.0,ok
BEN,Benin,1619.0,69.0,1539.0,11.0,ok
TGO,Togo,1526.0,178.0,1339.0,9.0,ok
LBY,Libya,1406.0,183.0,1211.0,12.0,ok
MUS,Mauritius,1222.0,96.0,1117.0,9.0,ok
CPV,Cape Verde,1117.0,106.0,1008.0,3.0,ok
GIN,Guinea,1051.0,39.0,1004.0,8.0,ok
MWI,Malawi,991.0,43.0,939.0,9.0,ok
COG,Congo,969.0,22.0,939.0,8.0,ok
ETH,Ethiopia,934.0,97.0,814.0,23.0,ok
SDN,Sudan,812.0,89.0,710.0,13.0,ok
NER,Niger,810.0,36.0,760.0,14.0,ok
LBR,Liberia,777.0,5.0,770.0,2.0,ok
LSO,Lesotho,617.0,16.0,595.0,6.0,ok
GAB,Gabon,599.0,34.0,556.0,9.0,ok
BDI,Burundi,579.0,10.0,567.0,2.0,ok
GNB,Guinea-Bissau,564.0,2.0,559.0,3.0,ok
SWZ,Eswatini,540.0,9.0,527.0,4.0,ok
SLE,Sierra Leone,459.0,32.0,426.0,1.0,ok
RWA,Rwanda,405.0,72.0,330.0,3.0,ok
GMB,Gambia,390.0,6.0,381.0,3.0,ok
GNQ,Equatorial Guinea,266.0,3.0,253.0,10.0,ok
SOM,Somalia,241.0,11.0,226.0,4.0,ok
SSD,South Sudan,234.0,10.0,220.0,4.0,ok
CAF,Central African Republic,212.0,4.0,204.0,4.0,ok
DJI,Djibouti,195.0,9.0,181.0,5.0,ok
ERI,Eritrea,124.0,3.0,120.0,1.0,ok
COM,Comoros,120.0,9.0,110.0,1.0,ok
STP,São Tomé and Príncipe,108.0,3.0,102.0,3.0,ok
TZA,Tanzania,5041,489,4536,16,ok
CIV,Côte d'Ivoire,3173,128,3018,27,ok
NAM,Namibia,2200,80,2093,27,ok
UGA,Uganda,2056,277,1769,10,ok
CMR,Cameroon,1950,204,1724,22,ok
MDG,Madagascar,1929,155,1735,39,ok
MOZ,Mozambique,1618,55,1554,9,ok
SYC,Seychelles,292,29,261,2,ok
MRT,Mauritania,277,23,252,2,ok
TCD,Chad,276,26,245,5,ok
